Index       TIME             V(VOUT)     
0        1.00000000e-06    9.99991001e-05
1        1.08192000e-06    9.99991001e-05
2        1.24576000e-06    9.99991001e-05
3        1.57344000e-06    9.99991001e-05
4        2.22880000e-06    9.99991001e-05
5        3.22880000e-06    9.99991001e-05
6        4.22880000e-06    9.99991001e-05
7        5.22880000e-06    9.99991001e-05
8        6.22880000e-06    9.99991001e-05
9        7.22880000e-06    9.99991001e-05
10       8.22880000e-06    9.99991001e-05
11       9.22880000e-06    9.99991001e-05
12       1.00000000e-05    9.99991001e-05
13       1.01000000e-05    9.99991408e-05
14       1.02000000e-05    9.99993046e-05
15       1.04000000e-05    1.00000133e-04
16       1.08000000e-05    1.00007169e-04
17       1.16000000e-05    1.00081730e-04
18       1.32000000e-05    1.02379752e-04
19       1.40000000e-05    1.12628761e-04
20       1.48000000e-05    1.43803616e-04
21       1.51953236e-05    2.01736176e-04
22       1.52306945e-05    2.07265650e-04
23       1.52660654e-05    2.12987528e-04
24       1.53014362e-05    2.19121370e-04
25       1.53368071e-05    2.25707333e-04
26       1.53721780e-05    2.32773159e-04
27       1.54075489e-05    2.40351562e-04
28       1.54429197e-05    2.48478302e-04
29       1.55136615e-05    2.66547934e-04
30       1.56551450e-05    3.11259981e-04
31       1.57966285e-05    3.69807390e-04
32       1.59381120e-05    4.45942348e-04
33       1.60795956e-05    5.44173179e-04
34       1.62210791e-05    6.69790965e-04
35       1.63625626e-05    8.28874146e-04
36       1.65040461e-05    1.02824499e-03
37       1.66455296e-05    1.27538313e-03
38       1.67870131e-05    1.57829985e-03
39       1.70699802e-05    2.38955489e-03
40       1.73529472e-05    3.52590962e-03
41       1.76359142e-05    5.05331344e-03
42       1.78905845e-05    6.81132704e-03
43       1.81452549e-05    8.97273203e-03
44       1.83999252e-05    1.15690029e-02
45       1.86545955e-05    1.46253158e-02
46       1.89092658e-05    1.81608787e-02
47       1.91639362e-05    2.21893585e-02
48       1.94186065e-05    2.67192259e-02
49       1.96732768e-05    3.17538778e-02
50       1.99279471e-05    3.72914013e-02
51       2.01826175e-05    4.33243698e-02
52       2.04372878e-05    4.98413270e-02
53       2.06919581e-05    5.68296015e-02
54       2.12012987e-05    7.21646587e-02
55       2.17106394e-05    8.92396373e-02
56       2.22199800e-05    1.07962530e-01
57       2.27293207e-05    1.28245486e-01
58       2.32386613e-05    1.50004624e-01
59       2.37480020e-05    1.73159862e-01
60       2.42573426e-05    1.97634744e-01
61       2.47666833e-05    2.23356280e-01
62       2.52760239e-05    2.50254795e-01
63       2.57853646e-05    2.78263781e-01
64       2.62947052e-05    3.07319756e-01
65       2.68040459e-05    3.37362130e-01
66       2.78227272e-05    4.00151676e-01
67       2.88414085e-05    4.66231173e-01
68       2.98600898e-05    5.35207059e-01
69       3.08787711e-05    6.06721126e-01
70       3.18974524e-05    6.80447458e-01
71       3.29161337e-05    7.56089618e-01
72       3.39348150e-05    8.33378090e-01
73       3.49534963e-05    9.12067936e-01
74       3.59721776e-05    9.91936660e-01
75       3.69908589e-05    1.07278225e+00
76       3.80095402e-05    1.15442140e+00
77       3.90282215e-05    1.23668788e+00
78       4.00469028e-05    1.31943102e+00
79       4.10655840e-05    1.40251439e+00
80       4.20842653e-05    1.48581453e+00
81       4.41216279e-05    1.65258616e+00
82       4.61589905e-05    1.81903684e+00
83       4.81963531e-05    1.98453801e+00
84       5.02337157e-05    2.14858217e+00
85       5.22710783e-05    2.31076245e+00
86       5.43084409e-05    2.47075552e+00
87       5.83831661e-05    2.78315589e+00
88       6.65326165e-05    3.37392993e+00
89       7.46820669e-05    3.91671889e+00
90       8.28315172e-05    4.41141289e+00
91       9.09809676e-05    4.86042264e+00
92       9.91304180e-05    5.26710531e+00
93       1.07279868e-04    5.63504809e+00
94       1.10000000e-04    5.74976654e+00
95       1.10489677e-04    5.76994878e+00
96       1.10926903e-04    5.78787228e+00
97       1.11801354e-04    5.82352644e+00
98       1.13550257e-04    5.89368988e+00
99       1.17048061e-04    6.02955612e+00
100      1.24043671e-04    6.28435883e+00
101      1.31039281e-04    6.51798030e+00
102      1.38034890e-04    6.73216872e+00
103      1.45030500e-04    6.92853397e+00
104      1.52026109e-04    7.10855569e+00
105      1.59021719e-04    7.27359231e+00
106      1.66017329e-04    7.42489023e+00
107      1.73012938e-04    7.56359264e+00
108      1.80008548e-04    7.69074784e+00
109      1.87004157e-04    7.80731703e+00
110      1.93999767e-04    7.91418143e+00
111      2.07990986e-04    8.10228626e+00
112      2.21982205e-04    8.26032181e+00
113      2.35973424e-04    8.39309472e+00
114      2.49964644e-04    8.50464331e+00
115      2.63955863e-04    8.59836039e+00
116      2.77947082e-04    8.67709640e+00
117      2.91938301e-04    8.74324612e+00
118      3.05929520e-04    8.79882152e+00
119      3.33911959e-04    8.88529299e+00
120      3.61894397e-04    8.94616489e+00
121      3.89876836e-04    8.98901589e+00
122      4.17859274e-04    9.01918100e+00
123      4.73824151e-04    9.05617475e+00
124      5.85753904e-04    9.08465807e+00
125      8.09613411e-04    9.09192897e+00
126      1.00406353e-03    9.09081330e+00
127      1.19851364e-03    9.09091809e+00
128      1.39296376e-03    9.09090825e+00
129      1.78186399e-03    9.09090944e+00
130      2.55966444e-03    9.09090886e+00
131      3.55966444e-03    9.09090926e+00
132      4.55966444e-03    9.09090897e+00
133      5.55966444e-03    9.09090918e+00
134      6.55966444e-03    9.09090903e+00
135      7.55966444e-03    9.09090914e+00
136      8.55966444e-03    9.09090906e+00
137      9.55966444e-03    9.09090911e+00
138      1.00000000e-02    9.09090908e+00
End of Xyce(TM) Simulation
