Index       TIME        V(UNCONNECTED-_R1-PAD1_)
0        0.00000000e+00    5.00050002e-01
1        1.00000000e-10    5.00050000e-01
2        3.00000000e-10    5.00050000e-01
3        7.00000000e-10    5.00050000e-01
4        1.50000000e-09    5.00050000e-01
5        3.10000000e-09    5.00050000e-01
6        6.30000000e-09    5.00050000e-01
7        1.27000000e-08    5.00050000e-01
8        2.55000000e-08    5.00050000e-01
9        5.11000000e-08    5.00050000e-01
10       1.02300000e-07    5.00050000e-01
11       2.04700000e-07    5.00050000e-01
12       4.09500000e-07    5.00050000e-01
13       8.19100000e-07    5.00050000e-01
14       1.63830000e-06    5.00050000e-01
15       3.27670000e-06    5.00050000e-01
16       6.55350000e-06    5.00050000e-01
17       1.31071000e-05    5.00050000e-01
18       2.62143000e-05    5.00050000e-01
19       5.24287000e-05    5.00050000e-01
20       1.04857500e-04    5.00050000e-01
21       2.09715100e-04    5.00050000e-01
22       4.19430300e-04    5.00050000e-01
23       8.38860700e-04    5.00050000e-01
24       1.33886070e-03    5.00050000e-01
25       1.83886070e-03    5.00050000e-01
26       2.33886070e-03    5.00050000e-01
27       2.83886070e-03    5.00050000e-01
28       3.33886070e-03    5.00050000e-01
29       3.83886070e-03    5.00050000e-01
30       4.33886070e-03    5.00050000e-01
31       4.83886070e-03    5.00050000e-01
32       5.00000000e-03    5.00050000e-01
End of Xyce(TM) Simulation
