Index,TIME,V(OUT),V(IN)
0,0.00000000e+00,0.00000000e+00,0.00000000e+00
1,5.00000000e-12,2.57784490e-10,2.50000000e-02
2,1.50000000e-11,1.80449141e-09,7.50000000e-02
3,3.50000000e-11,6.96018109e-09,1.75000000e-01
4,7.50000000e-11,2.96452150e-08,3.75000000e-01
5,1.55000000e-10,1.24509896e-07,7.75000000e-01
6,3.15000000e-10,5.12217668e-07,1.57500000e+00
7,6.35000000e-10,2.07954653e-06,3.17500000e+00
8,1.00000000e-09,5.15633062e-06,5.00000000e+00
9,1.06400000e-09,5.81625816e-06,5.00000000e+00
10,1.19200000e-09,7.13611288e-06,5.00000000e+00
11,1.44800000e-09,9.77582162e-06,5.00000000e+00
12,1.96000000e-09,1.50552349e-05,5.00000000e+00
13,2.98400000e-09,2.56140448e-05,5.00000000e+00
14,5.03200000e-09,4.67315977e-05,5.00000000e+00
15,9.12800000e-09,8.89664359e-05,5.00000000e+00
16,1.73200000e-08,1.73435042e-04,5.00000000e+00
17,3.37040000e-08,3.42367973e-04,5.00000000e+00
18,6.64720000e-08,6.80216713e-04,5.00000000e+00
19,1.32008000e-07,1.35584570e-03,5.00000000e+00
20,2.63080000e-07,2.70682978e-03,5.00000000e+00
21,5.25224000e-07,5.40770270e-03,5.00000000e+00
22,1.04951200e-06,1.08050705e-02,5.00000000e+00
23,2.09808800e-06,2.15823177e-02,5.00000000e+00
24,4.19524000e-06,4.30670471e-02,5.00000000e+00
25,8.38954400e-06,8.57589480e-02,5.00000000e+00
26,1.67781520e-05,1.70044419e-01,5.00000000e+00
27,3.35553680e-05,3.34315428e-01,5.00000000e+00
28,6.71098000e-05,6.46376706e-01,5.00000000e+00
29,1.00664232e-04,9.37565969e-01,5.00000000e+00
30,1.34218664e-04,1.20927923e+00,5.00000000e+00
31,1.67773096e-04,1.46281912e+00,5.00000000e+00
32,2.01327528e-04,1.69940116e+00,5.00000000e+00
33,2.34881960e-04,1.92015957e+00,5.00000000e+00
34,2.68436392e-04,2.12615269e+00,5.00000000e+00
35,3.01990824e-04,2.31836810e+00,5.00000000e+00
36,3.35545256e-04,2.49772731e+00,5.00000000e+00
37,3.69099688e-04,2.66509019e+00,5.00000000e+00
38,4.02654120e-04,2.82125911e+00,5.00000000e+00
39,4.36208552e-04,2.96698278e+00,5.00000000e+00
40,4.69762984e-04,3.10295982e+00,5.00000000e+00
41,5.00001000e-04,3.21768065e+00,5.00000000e+00
42,5.00001006e-04,3.21768067e+00,4.96875000e+00
43,5.00001012e-04,3.21768070e+00,4.93750000e+00
44,5.00001025e-04,3.21768074e+00,4.87500000e+00
