Index       TIME             V(OUT)             V(J1)      
0        0.00000000e+00   -2.00267201e+00    2.00000000e+00
1        1.00000000e-10   -2.00267201e+00    2.00000000e+00
2        3.00000000e-10   -2.00267201e+00    2.00000000e+00
3        7.00000000e-10   -2.00267201e+00    2.00000000e+00
4        1.50000000e-09   -2.00267201e+00    2.00000000e+00
5        3.10000000e-09   -2.00267201e+00    2.00000000e+00
6        6.30000000e-09   -2.00267201e+00    2.00000000e+00
7        1.27000000e-08   -2.00267201e+00    2.00000000e+00
8        2.55000000e-08   -2.00267201e+00    2.00000000e+00
9        5.11000000e-08   -2.00267201e+00    2.00000000e+00
10       1.02300000e-07   -2.00267201e+00    2.00000000e+00
11       2.04700000e-07   -2.00267201e+00    2.00000000e+00
12       4.09500000e-07   -2.00267201e+00    2.00000000e+00
13       8.19100000e-07   -2.00267201e+00    2.00000000e+00
14       1.63830000e-06   -2.00267201e+00    2.00000000e+00
15       3.27670000e-06   -2.00267201e+00    2.00000000e+00
16       6.55350000e-06   -2.00267201e+00    2.00000000e+00
17       1.31071000e-05   -2.00267201e+00    2.00000000e+00
18       2.62143000e-05   -2.00267201e+00    2.00000000e+00
19       5.24287000e-05   -2.00267201e+00    2.00000000e+00
20       1.04857500e-04   -2.00267201e+00    2.00000000e+00
21       2.09715100e-04   -2.00267201e+00    2.00000000e+00
22       4.19430300e-04   -2.00267201e+00    2.00000000e+00
23       8.38860700e-04   -2.00267201e+00    2.00000000e+00
24       1.33886070e-03   -2.00267201e+00    2.00000000e+00
25       1.83886070e-03   -2.00267201e+00    2.00000000e+00
26       2.33886070e-03   -2.00267201e+00    2.00000000e+00
27       2.83886070e-03   -2.00267201e+00    2.00000000e+00
28       3.33886070e-03   -2.00267201e+00    2.00000000e+00
29       3.83886070e-03   -2.00267201e+00    2.00000000e+00
30       4.33886070e-03   -2.00267201e+00    2.00000000e+00
31       4.83886070e-03   -2.00267201e+00    2.00000000e+00
32       5.00000000e-03   -2.00267201e+00    2.00000000e+00
End of Xyce(TM) Simulation
